City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Magadi,IN,73.47,broken clouds,12.9667,77.2333,Gobi centre
252,Caravelas,BR,74.73,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
253,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
254,San Luis,AR,80.08,scattered clouds,-33.295,-66.3356,Huarpes Hotel
258,Acajutla,SV,86.67,overcast clouds,13.5928,-89.8275,Laureles
263,Yulara,AU,75.04,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
265,Isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
266,Sibu,MY,73.8,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
267,Sao Joao Da Barra,BR,73.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
269,Tual,ID,80.73,light rain,-5.6667,132.75,Grand Vilia Hotel
270,Alyangula,AU,82.6,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
271,San Pedro,PH,81.36,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
274,Amalapuram,IN,77.47,overcast clouds,16.5833,82.0167,swayamprabha service apartments
275,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
283,Puerto Carreno,CO,90.5,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
284,Mayumba,GA,79.57,overcast clouds,-3.432,10.6554,LIKWALE LODGE
289,Mana,GF,77.95,light rain,5.6592,-53.7767,LE SAMANA
293,Dwarka,IN,74.91,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
294,High Rock,BS,78.82,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
297,Pisco,PE,75.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
298,Barra Da Estiva,BR,72.27,few clouds,-13.6261,-41.3269,Pousada Central
299,Sao Filipe,CV,70.59,clear sky,14.8961,-24.4956,Hotel Xaguate
300,Lutz,US,89.02,clear sky,28.1511,-82.4615,Paradise Lakes Resort
301,Harper,LR,80.06,overcast clouds,4.375,-7.7169,Screensaver
302,Faanui,PF,80.67,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
304,Maldonado,UY,72.23,overcast clouds,-34.6667,-54.9167,La Cimarrona
305,Guerrero Negro,MX,72.86,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
307,Shirpur,IN,84.94,clear sky,21.35,74.8833,Hotel Atithi
309,Puerto Rico,AR,85.12,overcast clouds,-26.796,-55.024,Hotel Cabañas del Prado
314,Amlame,TG,79.57,light rain,7.4667,0.9,Centre d’Acceuil AMITIE AIFFRES-AMLAME
315,Adrar,MR,79.88,clear sky,20.5022,-10.0711,
320,Saquena,PE,82.11,broken clouds,-4.6667,-73.5167,
321,Matara,LK,76.91,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
323,Bubaque,GW,76.35,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
327,Ixtapa,MX,76.23,scattered clouds,20.7,-105.2,hotel la terminal
329,Tabou,CI,80.4,overcast clouds,4.423,-7.3528,hotêl doufoulougou
330,Turbat,PK,74.07,clear sky,26.0023,63.044,Mubashar Quarters
340,Aden,YE,78.57,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
341,Parnarama,BR,76.95,overcast clouds,-5.6817,-43.0933,Hotel São Luiz
343,Virginia Beach,US,74.05,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
347,Sinnamary,GF,77.72,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
349,Labuhan,ID,79.99,overcast clouds,-6.8844,112.2051,DoubleFAG
352,Puga,MX,87.87,clear sky,21.5833,-104.8167,Del sol
353,Salinopolis,BR,77.77,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
354,Itacarambi,BR,78.62,few clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
357,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
358,Morondava,MG,80.1,broken clouds,-20.2833,44.2833,La Case Bambou
360,Amli,IN,79.38,clear sky,20.2833,73.0167,Hotel Soubhagya Inn
365,Kutum,SD,73.85,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
368,Ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
369,Domoni,KM,80.38,scattered clouds,-12.2569,44.5319,Al Djadid
372,Manicore,BR,81.16,broken clouds,-5.8092,-61.3003,Hotel Durval
376,Kirakira,SB,81.81,overcast clouds,-10.4544,161.9205,SanBiz Lodge
377,Port Moresby,PG,77.13,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
